	<yagoTheme_infoboxTermsToBeRedirected_en>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"
	<Silvio_Berlusconi>	<infobox/en/party>	<The_People_of_Freedom>
	<Silvio_Berlusconi>	<infobox/en/party>	"The People of Freedom"
	<Silvio_Berlusconi>	<infobox/en/predecessor>	<Carlo_Azeglio_Ciampi>
	<Silvio_Berlusconi>	<infobox/en/predecessor>	"Carlo Azeglio Ciampi"
	<Silvio_Berlusconi>	<infobox/en/predecessor>	<Giuliano_Amato>
	<Silvio_Berlusconi>	<infobox/en/predecessor>	"Giuliano Amato"
	<Silvio_Berlusconi>	<infobox/en/predecessor>	<Romano_Prodi>
	<Silvio_Berlusconi>	<infobox/en/predecessor>	"Romano Prodi"
	<Silvio_Berlusconi>	<infobox/en/president>	<Carlo_Azeglio_Ciampi>
	<Silvio_Berlusconi>	<infobox/en/president>	<Giorgio_Napolitano>
	<Silvio_Berlusconi>	<infobox/en/president>	"Carlo Azeglio Ciampi"
	<Silvio_Berlusconi>	<infobox/en/president>	"Giorgio Napolitano"
	<Silvio_Berlusconi>	<infobox/en/president>	<Giorgio_Napolitano>
	<Silvio_Berlusconi>	<infobox/en/president>	"Giorgio Napolitano"
	<Silvio_Berlusconi>	<infobox/en/president>	<Oscar_Luigi_Scalfaro>
	<Silvio_Berlusconi>	<infobox/en/president>	"Oscar Luigi Scalfaro"
	<Silvio_Berlusconi>	<infobox/en/profession>	<wordnet_entrepreneur_110060352>
	<Silvio_Berlusconi>	<infobox/en/profession>	<Entrepreneur>
	<Silvio_Berlusconi>	<infobox/en/profession>	"Entrepreneur"
	<Silvio_Berlusconi>	<infobox/en/religion>	<Catholic_Church>
	<Silvio_Berlusconi>	<infobox/en/religion>	"Roman Catholicism"
	<Silvio_Berlusconi>	<infobox/en/spouse>	<Veronica_Lario>
	<Silvio_Berlusconi>	<infobox/en/spouse>	"Veronica Lario"
	<Silvio_Berlusconi>	<infobox/en/successor>	<Lamberto_Dini>
	<Silvio_Berlusconi>	<infobox/en/successor>	"Lamberto Dini"
	<Silvio_Berlusconi>	<infobox/en/successor>	<Mario_Monti>
	<Silvio_Berlusconi>	<infobox/en/successor>	"Mario Monti"
	<Silvio_Berlusconi>	<infobox/en/successor>	<Romano_Prodi>
	<Silvio_Berlusconi>	<infobox/en/successor>	"Romano Prodi"
	<Silvio_Berlusconi>	<infobox/en/termend>	"16"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termend>	"2011"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termend>	"16 November 2011"
	<Silvio_Berlusconi>	<infobox/en/termend>	"2011-11-16"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/termend>	"17"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termend>	"1995"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termend>	"17 January 1995"
	<Silvio_Berlusconi>	<infobox/en/termend>	"1995-01-17"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/termend>	"17"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termend>	"2006"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termend>	"17 May 2006"
	<Silvio_Berlusconi>	<infobox/en/termend>	"2006-05-17"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/termstart>	"10"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"1994"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"10 May 1994"
	<Silvio_Berlusconi>	<infobox/en/termstart>	"1994-05-10"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/termstart>	"11"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"2001"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"11 June 2001"
	<Silvio_Berlusconi>	<infobox/en/termstart>	"2001-06-11"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/termstart>	"21"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"1994"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"21 April 1994"
	<Silvio_Berlusconi>	<infobox/en/termstart>	"1994-04-21"^^xsd:date
	<Silvio_Berlusconi>	<infobox/en/termstart>	"8"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"2008"^^xsd:integer
	<Silvio_Berlusconi>	<infobox/en/termstart>	"8 May 2008"
	<Silvio_Berlusconi>	<infobox/en/termstart>	"2008-05-08"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/colorcode>	"174"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/colours>	<Azure_(color)>
	<The_People_of_Freedom>	<infobox/en/colours>	"Azure"
	<The_People_of_Freedom>	<infobox/en/country>	"Italy"
	<The_People_of_Freedom>	<infobox/en/europarl>	<European_People's_Party_(European_Parliament_group)>
	<The_People_of_Freedom>	<infobox/en/europarl>	"European People's Party"
	<The_People_of_Freedom>	<infobox/en/european>	<European_People's_Party>
	<The_People_of_Freedom>	<infobox/en/european>	"European People's Party"
	<The_People_of_Freedom>	<infobox/en/foundation>	"18"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/foundation>	"2007"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/foundation>	"27"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/foundation>	"2009"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/foundation>	"18 November 2007"
	<The_People_of_Freedom>	<infobox/en/foundation>	"27 March 2009"
	<The_People_of_Freedom>	<infobox/en/foundation>	"2007-11-18"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/foundation>	"2009-03-27"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/headquarters>	<Rome>
	<The_People_of_Freedom>	<infobox/en/headquarters>	"36"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/headquarters>	"187"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/headquarters>	"Rome"
	<The_People_of_Freedom>	<infobox/en/ideology>	<Liberal_conservatism>
	<The_People_of_Freedom>	<infobox/en/ideology>	<Christian_democracy>
	<The_People_of_Freedom>	<infobox/en/ideology>	"Liberal conservatism"
	<The_People_of_Freedom>	<infobox/en/ideology>	"Christian democracy"
	<The_People_of_Freedom>	<infobox/en/international>	<wordnet_none_115228787>
	<The_People_of_Freedom>	<infobox/en/international>	"none"
	<The_People_of_Freedom>	<infobox/en/leadername>	<Angelino_Alfano>
	<The_People_of_Freedom>	<infobox/en/leadername>	"Angelino Alfano"
	<The_People_of_Freedom>	<infobox/en/leadername>	<Daniele_Capezzone>
	<The_People_of_Freedom>	<infobox/en/leadername>	"Daniele Capezzone"
	<The_People_of_Freedom>	<infobox/en/leadername>	<Sandro_Bondi>
	<The_People_of_Freedom>	<infobox/en/leadername>	<Ignazio_La_Russa>
	<The_People_of_Freedom>	<infobox/en/leadername>	<Denis_Verdini>
	<The_People_of_Freedom>	<infobox/en/leadername>	"Sandro Bondi"
	<The_People_of_Freedom>	<infobox/en/leadername>	"Ignazio La Russa"
	<The_People_of_Freedom>	<infobox/en/leadername>	"Denis Verdini"
	<The_People_of_Freedom>	<infobox/en/leadername>	<Silvio_Berlusconi>
	<The_People_of_Freedom>	<infobox/en/leadername>	"Silvio Berlusconi"
	<The_People_of_Freedom>	<infobox/en/leadertitle>	<wordnet_coordinator_109963914>
	<The_People_of_Freedom>	<infobox/en/leadertitle>	"Coordinators"
	<The_People_of_Freedom>	<infobox/en/leadertitle>	<wordnet_president_110468559>
	<The_People_of_Freedom>	<infobox/en/leadertitle>	"President"
	<The_People_of_Freedom>	<infobox/en/leadertitle>	<wordnet_secretary_110570019>
	<The_People_of_Freedom>	<infobox/en/leadertitle>	"Secretary"
	<The_People_of_Freedom>	<infobox/en/leadertitle>	<wordnet_spokesperson_110638385>
	<The_People_of_Freedom>	<infobox/en/leadertitle>	"Spokesperson"
	<The_People_of_Freedom>	<infobox/en/membership>	"1150.000"^^xsd:decimal
	<The_People_of_Freedom>	<infobox/en/membership>	"150-##-##"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/membershipyear>	"2011"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/membershipyear>	"2011"
	<The_People_of_Freedom>	<infobox/en/membershipyear>	"2011-##-##"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/merger>	<Forza_Italia>
	<The_People_of_Freedom>	<infobox/en/merger>	<National_Alliance_(Italy)>
	<The_People_of_Freedom>	<infobox/en/merger>	"Forza Italia"
	<The_People_of_Freedom>	<infobox/en/merger>	"National Alliance"
	<The_People_of_Freedom>	<infobox/en/name>	<The_People_of_Freedom>
	<The_People_of_Freedom>	<infobox/en/name>	"The People of Freedom"
	<The_People_of_Freedom>	<infobox/en/nativename>	<Il_Popolo_della_Libertà>
	<The_People_of_Freedom>	<infobox/en/nativename>	"Il Popolo della Libertà"
	<The_People_of_Freedom>	<infobox/en/position>	<Centre-right>
	<The_People_of_Freedom>	<infobox/en/position>	"Centre-right"
	<The_People_of_Freedom>	<infobox/en/seats>	"129"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"315"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"174"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"129-##-##"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/seats>	"315-##-##"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/seats>	"219"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"630"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"174"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"219-##-##"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/seats>	"630-##-##"^^xsd:date
	<The_People_of_Freedom>	<infobox/en/seats>	"24"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"73"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seats>	"174"^^xsd:integer
	<The_People_of_Freedom>	<infobox/en/seatstitle>	<European_Parliament>
	<The_People_of_Freedom>	<infobox/en/seatstitle>	"European Parliament"
	<The_People_of_Freedom>	<infobox/en/seatstitle>	<Italian_Chamber_of_Deputies>
	<The_People_of_Freedom>	<infobox/en/seatstitle>	"Chamber of Deputies"
	<The_People_of_Freedom>	<infobox/en/seatstitle>	<Italian_Senate>
	<The_People_of_Freedom>	<infobox/en/seatstitle>	"Senate"
	<The_People_of_Freedom>	<infobox/en/website>	<http://www.ilpopolodellaliberta.it>
	<The_People_of_Freedom>	<infobox/en/youthwing>	<Giovane_Italia_(PdL)>
	<The_People_of_Freedom>	<infobox/en/youthwing>	"Giovane Italia"
	<University_of_Milan>	<infobox/en/campus>	<wordnet_city_108524735>
	<University_of_Milan>	<infobox/en/campus>	"City"
	<University_of_Milan>	<infobox/en/city>	<Milan>
	<University_of_Milan>	<infobox/en/city>	"Milan"
	<University_of_Milan>	<infobox/en/colours>	"2147"^^xsd:integer
	<University_of_Milan>	<infobox/en/country>	<Italy>
	<University_of_Milan>	<infobox/en/country>	"Italy"
	<University_of_Milan>	<infobox/en/endowment>	"562000000"^^<euro>
	<University_of_Milan>	<infobox/en/endowment>	"562 million euros"
	<University_of_Milan>	<infobox/en/endowment>	"562-##-##"^^xsd:date
	<University_of_Milan>	<infobox/en/established>	"1924"^^xsd:integer
	<University_of_Milan>	<infobox/en/established>	"1924"
	<University_of_Milan>	<infobox/en/established>	"1924-##-##"^^xsd:date
	<University_of_Milan>	<infobox/en/faculty>	"4210"^^xsd:integer
	<University_of_Milan>	<infobox/en/faculty>	"210-##-##"^^xsd:date
	<University_of_Milan>	<infobox/en/free>	<CUS_Milano>
	<University_of_Milan>	<infobox/en/free>	"CUS Milano"
	<University_of_Milan>	<infobox/en/free>	<http://www.cusmilano.it/>
	<University_of_Milan>	<infobox/en/freelabel>	<Sports_teams>
	<University_of_Milan>	<infobox/en/freelabel>	"Sports teams"
	<University_of_Milan>	<infobox/en/motto>	<Scientia_illuminans_dignus>
	<University_of_Milan>	<infobox/en/motto>	"Scientia illuminans dignus"
	<University_of_Milan>	<infobox/en/mottoeng>	<Knowledge_enlightening_the_worthy>
	<University_of_Milan>	<infobox/en/mottoeng>	"Knowledge enlightening the worthy"
	<University_of_Milan>	<infobox/en/name>	<University_of_Milan>
	<University_of_Milan>	<infobox/en/name>	"University of Milan"
	<University_of_Milan>	<infobox/en/nativename>	<Università_degli_Studi_di_Milano>
	<University_of_Milan>	<infobox/en/nativename>	"Università degli Studi di Milano"
	<University_of_Milan>	<infobox/en/rector>	<Enrico_Decleva>
	<University_of_Milan>	<infobox/en/rector>	"Enrico Decleva"
	<University_of_Milan>	<infobox/en/students>	"62801"^^xsd:integer
	<University_of_Milan>	<infobox/en/students>	"801-##-##"^^xsd:date
	<University_of_Milan>	<infobox/en/website>	<http://www.unimi.it/>
	<Veronica_Lario>	<infobox/en/birthdate>	"1956"^^xsd:integer
	<Veronica_Lario>	<infobox/en/birthdate>	"7"^^xsd:integer
	<Veronica_Lario>	<infobox/en/birthdate>	"19"^^xsd:integer
	<Veronica_Lario>	<infobox/en/birthdate>	"1956-07-19"^^xsd:date
	<Veronica_Lario>	<infobox/en/birthname>	<Miriam_Raffaella_Bartolini>
	<Veronica_Lario>	<infobox/en/birthname>	"Miriam Raffaella Bartolini"
	<Veronica_Lario>	<infobox/en/birthplace>	<Bologna>
	<Veronica_Lario>	<infobox/en/birthplace>	<Italy>
	<Veronica_Lario>	<infobox/en/birthplace>	"Bologna"
	<Veronica_Lario>	<infobox/en/birthplace>	"Italy"
	<Veronica_Lario>	<infobox/en/children>	"Barbara"
	<Veronica_Lario>	<infobox/en/children>	"Eleonora"
	<Veronica_Lario>	<infobox/en/children>	"Luigi"
	<Veronica_Lario>	<infobox/en/knownfor>	<Silvio_Berlusconi>
	<Veronica_Lario>	<infobox/en/knownfor>	"Silvio Berlusconi"
	<Veronica_Lario>	<infobox/en/occupation>	<wordnet_actress_109767700>
	<Veronica_Lario>	<infobox/en/occupation>	<Actress>
	<Veronica_Lario>	<infobox/en/occupation>	"Actress"
	<Veronica_Lario>	<infobox/en/spouse>	<Silvio_Berlusconi>
	<Veronica_Lario>	<infobox/en/spouse>	"Silvio Berlusconi"
	<Veronica_Lario>	<infobox/en/yearsactive>	"1979"^^xsd:integer
	<Veronica_Lario>	<infobox/en/yearsactive>	"1979-##-##"^^xsd:date
	<Cherie_Blair>	<infobox/en/almamater>	<London_School_of_Economics>
	<Cherie_Blair>	<infobox/en/almamater>	"London School of Economics"
	<Cherie_Blair>	<infobox/en/birthdate>	"1954"^^xsd:integer
	<Cherie_Blair>	<infobox/en/birthdate>	"9"^^xsd:integer
	<Cherie_Blair>	<infobox/en/birthdate>	"23"^^xsd:integer
	<Cherie_Blair>	<infobox/en/birthdate>	"1954-09-23"^^xsd:date
	<Cherie_Blair>	<infobox/en/birthname>	<Cherie_Booth>
	<Cherie_Blair>	<infobox/en/birthname>	"Cherie Booth"
	<Cherie_Blair>	<infobox/en/birthplace>	<Bury>
	<Cherie_Blair>	<infobox/en/birthplace>	<Lancashire>
	<Cherie_Blair>	<infobox/en/birthplace>	"Bury"
	<Cherie_Blair>	<infobox/en/birthplace>	"Lancashire"
	<Cherie_Blair>	<infobox/en/children>	<Euan_Blair>
	<Cherie_Blair>	<infobox/en/children>	<Nicholas_Blair>
	<Cherie_Blair>	<infobox/en/children>	<Kathryn_Blair>
	<Cherie_Blair>	<infobox/en/children>	<Leo_Blair>
	<Cherie_Blair>	<infobox/en/children>	"Euan Blair"
	<Cherie_Blair>	<infobox/en/children>	"Nicholas Blair"
	<Cherie_Blair>	<infobox/en/children>	"Kathryn Blair"
	<Cherie_Blair>	<infobox/en/children>	"Leo Blair"
	<Cherie_Blair>	<infobox/en/monarch>	<Elizabeth_II_of_the_United_Kingdom>
	<Cherie_Blair>	<infobox/en/monarch>	"Elizabeth II"
	<Cherie_Blair>	<infobox/en/name>	<Cherie_Blair>
	<Cherie_Blair>	<infobox/en/name>	"Cherie Blair"
	<Cherie_Blair>	<infobox/en/nationality>	<British_people>
	<Cherie_Blair>	<infobox/en/nationality>	"British"
	<Cherie_Blair>	<infobox/en/office>	<Spouses_of_the_Prime_Ministers_of_the_United_Kingdom>
	<Cherie_Blair>	<infobox/en/office>	"Spouse of the Prime Minister of the United Kingdom"
	<Cherie_Blair>	<infobox/en/party>	<Labour_Party_(UK)>
	<Cherie_Blair>	<infobox/en/party>	"Labour"
	<Cherie_Blair>	<infobox/en/predecessor>	<Norma_Major>
	<Cherie_Blair>	<infobox/en/predecessor>	"Norma Major"
	<Cherie_Blair>	<infobox/en/primeminister>	<Tony_Blair>
	<Cherie_Blair>	<infobox/en/primeminister>	"Tony Blair"
	<Cherie_Blair>	<infobox/en/profession>	<wordnet_barrister_109840963>
	<Cherie_Blair>	<infobox/en/profession>	<Barrister>
	<Cherie_Blair>	<infobox/en/profession>	"Barrister"
	<Cherie_Blair>	<infobox/en/relations>	<Antony_Booth>
	<Cherie_Blair>	<infobox/en/relations>	<Lauren_Booth>
	<Cherie_Blair>	<infobox/en/relations>	<Booth_family>
	<Cherie_Blair>	<infobox/en/relations>	"Antony Booth"
	<Cherie_Blair>	<infobox/en/relations>	"Lauren Booth"
	<Cherie_Blair>	<infobox/en/relations>	"Booth family"
	<Cherie_Blair>	<infobox/en/religion>	<Roman_Catholic>
	<Cherie_Blair>	<infobox/en/religion>	"Roman Catholic"
	<Cherie_Blair>	<infobox/en/residence>	<10_Downing_Street>
	<Cherie_Blair>	<infobox/en/residence>	<Connaught_Square>
	<Cherie_Blair>	<infobox/en/residence>	"10"^^xsd:integer
	<Cherie_Blair>	<infobox/en/residence>	"10 Downing Street"
	<Cherie_Blair>	<infobox/en/residence>	"Connaught Square"
	<Cherie_Blair>	<infobox/en/spouse>	<Tony_Blair>
	<Cherie_Blair>	<infobox/en/spouse>	"1980"^^xsd:integer
	<Cherie_Blair>	<infobox/en/spouse>	"Tony Blair"
	<Cherie_Blair>	<infobox/en/spouse>	"1980-##-##"^^xsd:date
	<Cherie_Blair>	<infobox/en/successor>	<Sarah_Brown_(spouse)>
	<Cherie_Blair>	<infobox/en/successor>	"Sarah Brown"
	<Cherie_Blair>	<infobox/en/termend>	"27"^^xsd:integer
	<Cherie_Blair>	<infobox/en/termend>	"2007"^^xsd:integer
	<Cherie_Blair>	<infobox/en/termend>	"27 June 2007"
	<Cherie_Blair>	<infobox/en/termend>	"2007-06-27"^^xsd:date
	<Cherie_Blair>	<infobox/en/termstart>	"1"^^xsd:integer
	<Cherie_Blair>	<infobox/en/termstart>	"1997"^^xsd:integer
	<Cherie_Blair>	<infobox/en/termstart>	"1 May 1997"
	<Cherie_Blair>	<infobox/en/termstart>	"1997-05-01"^^xsd:date
	<Cherie_Blair>	<infobox/en/website>	<http://www.cherieblair.org/>
	<Edinburgh>	<infobox/en/areacode>	"131"^^xsd:integer
	<Edinburgh>	<infobox/en/areacode>	"0131"
	<Edinburgh>	<infobox/en/areatotalsqmi>	"100.00"^^xsd:decimal
	<Edinburgh>	<infobox/en/areatotalsqmi>	"100-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/blankemblemlink>	<The_City_of_Edinburgh_Council>
	<Edinburgh>	<infobox/en/blankemblemlink>	"The City of Edinburgh Council"
	<Edinburgh>	<infobox/en/blankemblemsize>	"150"^^<px>
	<Edinburgh>	<infobox/en/blankemblemsize>	"150px"
	<Edinburgh>	<infobox/en/blankemblemtype>	<Logo_of_the_Council>
	<Edinburgh>	<infobox/en/blankemblemtype>	"Logo of the Council"
	<Edinburgh>	<infobox/en/blankinfo>	"0"^^xsd:integer
	<Edinburgh>	<infobox/en/blankinfo>	"00QP"
	<Edinburgh>	<infobox/en/blankinfo>	"25"^^xsd:integer
	<Edinburgh>	<infobox/en/blankinfo>	"UKM25"
	<Edinburgh>	<infobox/en/blankinfo>	"275735"^^xsd:integer
	<Edinburgh>	<infobox/en/blankname>	<British_national_grid_reference_system>
	<Edinburgh>	<infobox/en/blankname>	"OS grid reference"
	<Edinburgh>	<infobox/en/blankname>	"3166"^^xsd:integer
	<Edinburgh>	<infobox/en/blankname>	"-2"^^xsd:integer
	<Edinburgh>	<infobox/en/blankname>	"ISO 3166-2"
	<Edinburgh>	<infobox/en/blankname>	<Nomenclature_of_Territorial_Units_for_Statistics>
	<Edinburgh>	<infobox/en/blankname>	"3"^^xsd:integer
	<Edinburgh>	<infobox/en/blankname>	"NUTS"
	<Edinburgh>	<infobox/en/blankname>	<ONS_coding_system>
	<Edinburgh>	<infobox/en/blankname>	"ONS code"
	<Edinburgh>	<infobox/en/coordinatesdisplay>	<wordnet_title_106345993>
	<Edinburgh>	<infobox/en/coordinatesregion>	"GB"
	<Edinburgh>	<infobox/en/establisheddate>	"1125"^^xsd:integer
	<Edinburgh>	<infobox/en/establisheddate>	"1125"
	<Edinburgh>	<infobox/en/establisheddate>	"1125-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/establisheddate>	"1889"^^xsd:integer
	<Edinburgh>	<infobox/en/establisheddate>	"1889"
	<Edinburgh>	<infobox/en/establisheddate>	"1889-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/establisheddate>	"7"^^xsd:integer
	<Edinburgh>	<infobox/en/establisheddate>	"prior to the 7th century"
	<Edinburgh>	<infobox/en/establisheddate>	"07##-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/establishedtitle>	<City_status>
	<Edinburgh>	<infobox/en/establishedtitle>	"City status"
	<Edinburgh>	<infobox/en/establishedtitle>	"Founded"
	<Edinburgh>	<infobox/en/establishedtitle>	<Burgh>
	<Edinburgh>	<infobox/en/establishedtitle>	"Burgh Charter"
	<Edinburgh>	<infobox/en/flagsize>	"50"^^xsd:integer
	<Edinburgh>	<infobox/en/flagsize>	"50"
	<Edinburgh>	<infobox/en/governmenttype>	<Subdivisions_of_Scotland>
	<Edinburgh>	<infobox/en/governmenttype>	<City_status_in_the_United_Kingdom>
	<Edinburgh>	<infobox/en/governmenttype>	"Unitary Authority"
	<Edinburgh>	<infobox/en/governmenttype>	"City"
	<Edinburgh>	<infobox/en/imagecaption>	<Arthur's_Seat,_Edinburgh>
	<Edinburgh>	<infobox/en/imagecaption>	"Arthur's Seat"
	<Edinburgh>	<infobox/en/imagesize>	"260"^^<px>
	<Edinburgh>	<infobox/en/imagesize>	"260px"
	<Edinburgh>	<infobox/en/latd>	"55"^^xsd:integer
	<Edinburgh>	<infobox/en/latd>	"55"
	<Edinburgh>	<infobox/en/latm>	"57"^^xsd:integer
	<Edinburgh>	<infobox/en/latm>	"57"
	<Edinburgh>	<infobox/en/lats>	"11"^^xsd:integer
	<Edinburgh>	<infobox/en/lats>	"11"
	<Edinburgh>	<infobox/en/leadername>	<George_Grubb>
	<Edinburgh>	<infobox/en/leadername>	"George Grubb"
	<Edinburgh>	<infobox/en/leadername>	<Politics_of_Edinburgh>
	<Edinburgh>	<infobox/en/leadername>	"The City of Edinburgh Council"
	<Edinburgh>	<infobox/en/leadername>	<Alistair_Darling>
	<Edinburgh>	<infobox/en/leadername>	<Gavin_Strang>
	<Edinburgh>	<infobox/en/leadername>	<Nigel_Griffiths>
	<Edinburgh>	<infobox/en/leadername>	<Mark_Lazarowicz>
	<Edinburgh>	<infobox/en/leadername>	<John_Barrett_(Scottish_politician)>
	<Edinburgh>	<infobox/en/leadername>	"5"^^xsd:integer
	<Edinburgh>	<infobox/en/leadername>	"5"
	<Edinburgh>	<infobox/en/leadername>	"Alistair Darling"
	<Edinburgh>	<infobox/en/leadername>	"Gavin Strang"
	<Edinburgh>	<infobox/en/leadername>	"Nigel Griffiths"
	<Edinburgh>	<infobox/en/leadername>	"Mark Lazarowicz"
	<Edinburgh>	<infobox/en/leadername>	"John Barrett"
	<Edinburgh>	<infobox/en/leadername>	<Kenny_MacAskill>
	<Edinburgh>	<infobox/en/leadername>	<Marco_Biagi_(politician)>
	<Edinburgh>	<infobox/en/leadername>	<Malcolm_Chisholm>
	<Edinburgh>	<infobox/en/leadername>	<Gordon_MacDonald_(Scottish_politician)>
	<Edinburgh>	<infobox/en/leadername>	<Jim_Eadie_(politician)>
	<Edinburgh>	<infobox/en/leadername>	<Colin_Keir>
	<Edinburgh>	<infobox/en/leadername>	"6"^^xsd:integer
	<Edinburgh>	<infobox/en/leadername>	"6"
	<Edinburgh>	<infobox/en/leadername>	"Kenny MacAskill"
	<Edinburgh>	<infobox/en/leadername>	"Marco Biagi"
	<Edinburgh>	<infobox/en/leadername>	"Malcolm Chisholm"
	<Edinburgh>	<infobox/en/leadername>	"Gordon MacDonald"
	<Edinburgh>	<infobox/en/leadername>	"Jim Eadie"
	<Edinburgh>	<infobox/en/leadername>	"Colin Keir"
	<Edinburgh>	<infobox/en/leadertitle>	<List_of_Lords_Provost_of_Edinburgh>
	<Edinburgh>	<infobox/en/leadertitle>	"Lord Provost"
	<Edinburgh>	<infobox/en/leadertitle>	<MPs_elected_in_the_UK_general_election,_2005>
	<Edinburgh>	<infobox/en/leadertitle>	"2005"^^xsd:integer
	<Edinburgh>	<infobox/en/leadertitle>	"MPs"
	<Edinburgh>	<infobox/en/leadertitle>	"2005-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/leadertitle>	<Members_of_the_4th_Scottish_Parliament>
	<Edinburgh>	<infobox/en/leadertitle>	"4"^^xsd:integer
	<Edinburgh>	<infobox/en/leadertitle>	"MSPs"
	<Edinburgh>	<infobox/en/longd>	"3"^^xsd:integer
	<Edinburgh>	<infobox/en/longm>	"11"^^xsd:integer
	<Edinburgh>	<infobox/en/longm>	"11"
	<Edinburgh>	<infobox/en/longs>	"20"^^xsd:integer
	<Edinburgh>	<infobox/en/longs>	"20"
	<Edinburgh>	<infobox/en/motto>	<Nisi_Dominus_Frustra>
	<Edinburgh>	<infobox/en/motto>	"Nisi Dominus Frustra"
	<Edinburgh>	<infobox/en/name>	<City_of_Edinburgh>
	<Edinburgh>	<infobox/en/name>	"City of Edinburgh"
	<Edinburgh>	<infobox/en/nickname>	"Auld Reekie"
	<Edinburgh>	<infobox/en/nickname>	"Athens of the North"
	<Edinburgh>	<infobox/en/nickname>	"Edina"
	<Edinburgh>	<infobox/en/nickname>	"Dunedin"
	<Edinburgh>	<infobox/en/officialname>	<City_of_Edinburgh>
	<Edinburgh>	<infobox/en/officialname>	"City of Edinburgh"
	<Edinburgh>	<infobox/en/populationasof>	"2010"^^xsd:integer
	<Edinburgh>	<infobox/en/populationasof>	"2010"
	<Edinburgh>	<infobox/en/populationasof>	"2010-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/populationdensityurbansqmi>	"4776"^^xsd:integer
	<Edinburgh>	<infobox/en/populationdensityurbansqmi>	"4776"
	<Edinburgh>	<infobox/en/populationtotal>	"486120"^^xsd:integer
	<Edinburgh>	<infobox/en/populationtotal>	"486-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/populationtotal>	"120-##-##"^^xsd:date
	<Edinburgh>	<infobox/en/postalcode>	<EH_postcode_area>
	<Edinburgh>	<infobox/en/postalcode>	"EH"
